lab_date,preparor,tourism_level,site_area,unique_site,sample_id,date_collected,month,wetweight_grams,diameter_mm,scat_identity,dryweight_grams,plastic,anthropogenic,invertebrate,vertebrate,plant,diet_richness,notes
9/12/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S1_12Sep2021,9/12/2021,september,2.218,8.8,ringtail,2.2152,0,1,0,0,1,2,
8/31/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S10_12Sep2021,9/12/2021,september,1.988,12.5,ringtail,1.4157,0,0,1,1,1,3,
8/31/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S11_12Sep2021,9/12/2021,september,0.906,8.4,ringtail,0.5634,1,1,1,1,1,5,
9/12/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S2_12Sep2021,9/12/2021,september,2.509,9.1,ringtail,1.6727,0,1,0,0,1,2,
9/12/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S5_12Sep2021,9/12/2021,september,0.543,11.6,ringtail,0.1678,0,0,0,0,1,1,
8/31/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S6_12Sep2021,9/12/2021,september,0.715,6.4,ringtail,0.3384,1,0,0,0,1,2,
9/12/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S7_12Sep2021,9/12/2021,september,1.114,12.2,ringtail,0.8761,0,1,0,0,1,2,
8/31/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S8_12Sep2021,9/12/2021,september,0.304,5.8,ringtail,0.2529,0,0,1,0,1,2,
8/31/2022,LLO,backcountry,GCBAC,GCBAC,GCBAC_S9_12Sep2021,9/12/2021,september,0.971,5.5,ringtail,0.7135,0,0,1,1,1,3,
10/5/2022,LLO,frontcountry,GCV,GCBAR,GCBAR_S1_02Jun2021,6/2/2021,june,4.528,15.3,carnivore,2.6602,0,0,0,0,1,1,
4/29/2022,LLO,frontcountry,GCV,GCBAR,GCBAR_S1_06Dec2021,12/6/2021,december,0.652,12.5,carnivore,0.5084,0,1,0,1,0,2,
10/5/2022,LLO,frontcountry,GCV,GCBAR,GCBAR_S2_02Jun2021,6/2/2021,june,2.3657,12.9,carnivore,2.3657,0,1,0,1,1,3,
9/27/2022,LLO,frontcountry,GCV,GCBAR,GCBAR_S2_05Dec2021,12/5/2021,december,0.706,11.7,carnivore,0.4825,0,1,0,1,1,3,
10/5/2022,LLO,frontcountry,GCV,GCBAR,GCBAR_S3_02Jun2021,6/2/2021,june,2.87,9.7,carnivore,1.6753,1,0,0,0,1,2,
10/5/2022,LLO,frontcountry,GCV,GCBAR,GCBAR_S4_02Jun2021,6/2/2021,june,1.884,10.8,carnivore,1.1219,0,0,0,1,1,2,
9/12/2022,LLO,backcountry,GCBAC,GCBB,GCBB_S1_12Sep2021,9/12/2021,september,4.986,11.6,carnivore,21.6283,0,1,0,0,1,2,
4/29/2022,ARW,backcountry,GCBAC,GCBB,GCBB_S3_05Dec2021,12/5/2021,december,0.997,12.6,carnivore,0.8199,0,0,0,1,1,2,
9/28/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S1_05Dec2021,12/5/2021,december,1.324,9.8,ringtail,0.5647,0,0,0,1,0,1,
9/12/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S1_12Sep2021,9/12/2021,september,0.709,9.1,ringtail,0.5728,0,1,0,1,0,2,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S10_05Jun2021,6/5/2021,june,1.687,8.1,ringtail,1.1812,0,0,0,1,1,2,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S2_05Jun2021,6/5/2021,june,0.572,8.6,ringtail,0.4597,0,0,1,1,0,2,
9/12/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S2_12Sep2021,9/12/2021,september,6.594,13.3,ringtail,4.6726,1,1,0,0,1,3,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S3_05Jun2021,6/5/2021,june,1.164,11,ringtail,0.9766,0,0,0,1,0,1,
9/12/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S3_12Sep2021,9/12/2021,september,1.208,9.3,ringtail,0.8598,0,0,0,1,1,2,
9/27/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S4_05Dec2021,12/5/2021,december,1.402,8.7,ringtail,1.1037,0,1,0,1,1,3,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S4_05Jun2021,6/5/2021,june,2.678,12.2,ringtail,1.3701,0,0,0,1,1,2,
9/12/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S4_12Sep2021,9/12/2021,september,2.928,11.6,ringtail,2.3616,0,0,1,1,1,3,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S5_05Jun2021,6/5/2021,june,2.711,10.7,ringtail,2.1186,0,1,1,0,1,3,
9/12/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S5_12Sep2021,9/12/2021,september,1.895,10.8,ringtail,1.5471,1,0,0,1,1,3,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S6_05Jun2021,6/5/2021,june,0.522,7.3,ringtail,0.3535,0,1,1,1,1,4,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S7_05Jun2021,6/5/2021,june,1.345,6.8,ringtail,0.8674,0,0,1,1,1,3,
11/1/2022,LLO,backcountry,GCBAC,GCBH,GCBH_S8_05Jun2021,6/5/2021,june,1.357,9.8,ringtail,0.9555,0,0,0,1,0,1,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCET1_S1_02Jun2021,6/2/2021,june,2.735,11.6,ringtail,1.1441,0,1,0,1,0,2,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCET1_S4_02Jun2021,6/2/2021,june,1.327,8.1,ringtail,1.1038,0,0,0,1,0,1,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCET1_S5_02Jun2021,6/2/2021,june,2.265,10.1,ringtail,1.7014,0,1,0,1,0,2,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCET1_S6_02Jun2021,6/2/2021,june,1.171,8.8,ringtail,0.949,1,1,0,1,0,3,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S1_02Jun2021,6/2/2021,june,1.508,10.2,ringtail,1.1441,1,1,0,1,0,3,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S10_02Jun2021,6/2/2021,june,1.127,9.4,ringtail,0.8543,0,1,1,1,1,4,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S11_02Jun2021,6/2/2021,june,4.546,13.6,ringtail,3.1739,0,0,1,1,0,2,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S12_02Jun2021,6/2/2021,june,1.929,10.4,ringtail,1.4173,1,0,1,1,0,3,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S16_02Jun2021,6/2/2021,june,0.962,9,ringtail,0.6206,1,0,0,1,0,2,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S4_02Jun2021,6/2/2021,june,1.109,8.8,ringtail,0.9425,1,0,0,1,0,2,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S5_02Jun2021,6/2/2021,june,2.121,12,ringtail,0.9078,1,0,1,1,1,4,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S6_02Jun2021,6/2/2021,june,1.76,13.3,ringtail,1.3327,0,1,0,1,0,2,
10/10/2022,LLO,frontcountry,GCV,GCETRO,GCET2_S9_02Jun2021,6/2/2021,june,1.193,9.5,ringtail,0.7704,1,1,1,1,0,4,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCETRF_S2_02Jun2021,6/2/2021,june,0.597,11.4,ringtail,0.3925,1,0,1,0,0,2,
4/29/2022,ARW,frontcountry,GCV,GCETRO,GCETRO_S1_06Dec2021,12/6/2021,december,0.605,7.7,ringtail,0.4254,1,0,0,1,1,3,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S1_14Sep2021,9/14/2021,september,1.289,9.7,ringtail,0.9358,0,0,0,0,1,1,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S10_14Sep2021,9/14/2021,september,3.417,12.8,ringtail,2.9656,1,0,1,1,1,4,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S2_14Sep2021,9/14/2021,september,5.633,13.2,ringtail,3.741,0,1,0,1,1,3,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S3_02Jun2021,6/2/2021,june,1.652,25.8,ringtail,1.3597,0,0,1,1,1,3,
4/29/2022,ARW,frontcountry,GCV,GCETRO,GCETRO_S3_06Dec2021,12/6/2021,december,1.011,9.3,ringtail,0.8538,1,1,0,1,0,3,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S3_14Sep2021,9/14/2021,september,0.749,10,ringtail,0.5728,0,0,1,1,1,3,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S5_14Sep2021,9/14/2021,september,1.074,8.6,ringtail,0.897,0,0,1,1,1,3,
4/29/2022,ARW,frontcountry,GCV,GCETRO,GCETRO_S6_06Dec2021,12/6/2021,december,0.898,7.7,ringtail,0.7436,0,1,1,1,0,3,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S6_14Sep2021,9/14/2021,september,1.719,12.3,ringtail,1.2722,1,1,1,1,1,5,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S7_02Jun2021,6/2/2021,june,2.955,12.8,ringtail,1.4977,0,1,1,1,0,3,
4/29/2022,ARW,frontcountry,GCV,GCETRO,GCETRO_S7_06Dec2021,12/6/2021,december,0.875,10.8,ringtail,0.788,1,1,1,1,1,5,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S7_14Sep2021,9/14/2021,september,1.704,10.1,ringtail,1.4485,0,1,1,1,1,4,
10/11/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S8_02Jun2021A,6/2/2021,june,1.094,8.5,ringtail,0.8633,0,1,1,1,1,4,
9/27/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S8_06Dec2021,12/6/2021,december,0.275,7.2,ringtail,0.2209,0,0,0,1,1,2,
9/13/2022,LLO,frontcountry,GCV,GCETRO,GCETRO_S8_14Sep2021,9/14/2021,september,0.846,9.9,ringtail,0.6653,0,0,1,1,0,2,
10/4/2022,LLO,backcountry,GCBAC,GCJH,GCJH_S1_06May2021,5/6/2021,may,0.689,8.4,ringtail,0.302,0,0,0,0,1,1,
10/4/2022,LLO,backcountry,GCBAC,GCJH,GCJH_S2_06May2021,5/6/2021,may,1.55,11.6,ringtail,0.5667,0,1,0,0,1,2,
11/2/2022,LLO,frontcountry,GCNR,GCNRM,GCNRM_S1_02Dec2021,12/2/2021,december,2.219,15.9,other mesocarnivore,1.3686,0,0,0,1,1,2,
10/10/2022,LLO,frontcountry,GCNR,GCNRM,GCNRM_S1_26Jul2021,7/26/2021,july,1.416,12.1,other mesocarnivore,0.3241,0,1,0,0,0,1,date originally written as 6/29/21
9/21/2022,LLO,backcountry,GCBAC,GCBAC,GCTC_S1_13Sep2021,9/13/2021,september,4.551,8.8,ringtail,3.04,0,0,0,0,1,1,listed as TL but reverted to TC based on dates (see page 7 of field datasheet)
9/21/2022,LLO,backcountry,GCBAC,GCBAC,GCTC_S2_13Sep2021,9/13/2021,september,1.971,9.3,ringtail,2.007,0,0,1,0,1,2,listed as TL but reverted to TC based on dates (see page 7 of field datasheet)
9/21/2022,LLO,backcountry,GCBAC,GCBAC,GCTC_S4_13Sep2021,9/13/2021,september,1.286,7.4,ringtail,1.1252,0,0,0,0,1,1,listed as TL but reverted to TC based on dates
4/29/2022,ARW,frontcountry,GCV,GCTL,GCTL_S1_06Dec2021,12/6/2021,december,0.665,11.2,ringtail,0.6078,1,0,0,0,1,2,
9/21/2022,LLO,frontcountry,GCV,GCTL,GCTL_S1_14Sep2021,9/14/2021,september,1.008,10.2,ringtail,0.706,0,1,0,1,0,2,need to locate in Journal H
9/27/2022,LLO,frontcountry,GCV,GCTL,GCTL_S2_06Dec2021,12/6/2021,december,2.958,4,ringtail,0.3496,0,1,0,0,1,2,
9/21/2022,LLO,frontcountry,GCV,GCTL,GCTL_S2_14Sep2021,9/14/2021,september,0.657,9,ringtail,0.491,0,1,0,1,1,3,(see page 7 of field datasheet)
9/21/2022,LLO,frontcountry,GCV,GCTL,GCTL_S3_14Sep2021,9/14/2021,september,0.831,14,ringtail,0.7225,0,1,0,1,1,3,(see page 7 of field datasheet)
9/21/2022,LLO,frontcountry,GCV,GCTL,GCTL_S4_14Sep2021,9/14/2021,september,1.225,8.3,ringtail,0.7157,1,0,1,1,0,3,listed as TC but reverted to TL based on dates (see page 7 of data processing sheet)
11/2/2022,LLO,backcountry,GCBAC,GCBAC,GCWP_S1_05Jun2021,6/5/2021,june,7.061,10.1,ringtail,2.3226,0,1,1,0,1,3,
3/23/2023,LLO,backcountry,GCBAC,GCBAC,GCWP_S2_05Jun2021,6/5/2021,june,0.979,11.7,ringtail,0.979,0,1,1,1,1,4,
3/23/2023,LLO,backcountry,GCBAC,GCBAC,GCWP_S3_05Jun2021,6/5/2021,june,0.539,9.6,ringtail,0.539,0,1,0,0,1,2,
3/23/2023,LLO,backcountry,GCBAC,GCBAC,GCWP_S4_05Jun2021,6/5/2021,june,0.397,9.3,ringtail,0.397,0,0,1,0,1,2,
4/29/2022,ARW,backcountry,GCBAT,GC15H,GC15H_S4_11Sep2021,9/11/2021,september,not_weighed,9.5,other mesocarnivore,1.0347,0,0,0,1,1,2,
